"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Access code","In diesem Teil bewerten Sie die nächste Version unseres Recommender Modells. Das Vorgehen dabei ist gleich geblieben: Sie bewerten wie gut die Liedpaare zueinander passen. Den erst genannten Song kennen Sie bereits. Der Empfohlene Song ist neu.  Falls keine Lied Vorschau angezeigt wird, warten Sie bitte einen Moment. Es kann zu verlängerten Ladezeiten der Webseite kommen. Auch ein neu Laden der Seite kann Abhilfe schaffen. ","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Haben Sie zusätzliche Kommentare oder Anmerkungen zur Umfrage, die Sie gerne mitteilen möchten?","Gesamtzeit","Gruppenzeit: Recommender 2","Fragenzeit: G03Q00","Fragenzeit: G03Q01","Fragenzeit: G03Q03","Fragenzeit: G03Q04","Fragenzeit: G03Q05","Fragenzeit: G03Q06","Fragenzeit: G03Q07","Fragenzeit: G03Q08","Fragenzeit: G03Q09","Fragenzeit: G03Q10","Fragenzeit: G03Q11","Fragenzeit: G03Q12","Fragenzeit: G03Q13","Fragenzeit: G03Q14","Fragenzeit: G03Q15","Fragenzeit: G03Q16","Fragenzeit: G03Q17","Fragenzeit: G03Q18","Fragenzeit: G03Q19","Fragenzeit: G03Q20","Gruppenzeit: Ende der Umfrage","Fragenzeit: G04Q01"
"22","1980-01-01 00:00:00","2","en","2094623008","BYGNEdqLaqbodCv","","1","3","7","3","3","3","4","8","6","8","7","1","5","7","1","6","1","4","2","The last four question's music didn't played on me. I don't know if this is about my computer or anything else.","786.58","673.77","","","","","","","","","","","","","","","","","","","","","112.81",""
"23","1980-01-01 00:00:00","2","en","1578179099","3hzvSiKrFeDvR7w","","7","6","8","9","1","1","6","10","8","9","9","1","7","10","1","9","3","8","1","wonderful selection. no worries.","718.6","688.39","","","","","","","","","","","","","","","","","","","","","30.21",""
"24","1980-01-01 00:00:00","2","de-easy","326157723","TI794Rn1WVnQaT7","","10","6","5","5","10","5","6","5","8","5","10","8","7","8","7","5","10","7","3","","555.16","549.54","","","","","","","","","","","","","","","","","","","","","5.62",""
"25","1980-01-01 00:00:00","2","en","1036783273","Vylapo3YRcjZulc","","6","7","5","8","4","7","7","8","7","6","9","3","7","7","7","6","6","2","4","For me personally, the system works better now. Well done!","1160.39","1039.6","","","","","","","","","","","","","","","","","","","","","120.79",""
"26","1980-01-01 00:00:00","2","de-easy","1550147988","3KwHmWyZRgf85RF","","3","4","7","5","3","4","6","7","6","7","8","2","4","2","3","6","3","7","4","","1278.86","1274.96","","","","","","","","","","","","","","","","","","","","","3.9",""
"27","1980-01-01 00:00:00","2","en","1221479545","YTmYpmRaKIywPzK","","8","8","8","7","7","6","9","7","7","8","7","7","7","6","9","7","5","7","9","This time was better than the first survey due to the time needed and its efficiency","75.85","37.12","","","","","","","","","","","","","","","","","","","","","38.73",""
"29","1980-01-01 00:00:00","2","de-easy","1577891647","zKWIng6Rig2H6mY","","3","3","5","7","4","3","3","9","7","8","6","3","3","5","5","7","5","5","2","","1053.27","1050.21","","","","","","","","","","","","","","","","","","","","","3.06",""
"30","1980-01-01 00:00:00","2","de-easy","162120016","OkIIpFHalUV92X4","","5","7","8","9","8","4","7","8","9","9","9","1","9","2","9","8","6","8","7","","182.25","178.57","","","","","","","","","","","","","","","","","","","","","3.68",""
"31","1980-01-01 00:00:00","2","de-easy","1358760422","aEPiPKzzaPOOH4H","","8","10","6","3","3","4","5","8","8","9","7","3","7","4","5","7","6","7","2","","453.62","447.82","","","","","","","","","","","","","","","","","","","","","5.8",""
"32","1980-01-01 00:00:00","2","de-easy","857069569","J4ArG6zBHzaZmAG","","8","9","7","8","6","5","6","8","8","8","7","5","6","6","6","6","6","8","6","","306.69","303.08","","","","","","","","","","","","","","","","","","","","","3.61",""
"33","1980-01-01 00:00:00","2","de-easy","1388583467","HrOBFufzrAwl9ua","","8","8","5","8","4","5","5","8","10","6","8","8","8","5","5","8","4","4","1","","369.51","348.19","","","","","","","","","","","","","","","","","","","","","21.32",""
"34","1980-01-01 00:00:00","2","en","541064631","y3hNgW6fOiZSmfD","","6","9","8","8","8","8","4","7","8","9","10","3","9","9","7","4","7","7","8","It seems like someone who doesn’t know a lot of musoc chooses these recommendations. ","468.34","398.87","","","","","","","","","","","","","","","","","","","","","69.47",""
"35","1980-01-01 00:00:00","2","de-easy","702749317","Q9DYERDBRNC8pGC","","7","9","6","2","9","9","3","7","3","6","7","1","7","3","6","9","6","8","1","","7017.55","7007.91","","","","","","","","","","","","","","","","","","","","","9.64",""
"37","1980-01-01 00:00:00","2","de-easy","490104234","V0JupQcvAP5BRuF","","7","9","6","10","5","6","7","9","10","10","7","4","3","8","9","8","5","6","4","","265.21","260.52","","","","","","","","","","","","","","","","","","","","","4.69",""
"38","1980-01-01 00:00:00","2","de-easy","111650792","KJyms4rE5dvOHKz","","6","8","6","6","4","5","6","8","8","9","9","4","8","8","4","7","6","7","3","","321.58","318.27","","","","","","","","","","","","","","","","","","","","","3.31",""
"39","1980-01-01 00:00:00","2","de-easy","1888906618","o37w6Jq7j11dk4O","","5","9","10","8","6","6","8","6","8","5","7","8","6","7","6","8","7","9","5","","135.85","131.86","","","","","","","","","","","","","","","","","","","","","3.99",""
"40","1980-01-01 00:00:00","2","de-easy","1406909419","vZlhdAhOfJUFNBR","","6","9","9","7","8","9","6","9","8","10","10","7","9","8","8","8","8","8","5","","446.66","440.49","","","","","","","","","","","","","","","","","","","","","6.17",""
"41","1980-01-01 00:00:00","2","de-easy","567772077","zTI3rlaaf4hK7xN","","3","5","8","2","1","5","3","4","7","9","4","2","3","2","3","10","3","2","2","","210.98","207.29","","","","","","","","","","","","","","","","","","","","","3.69",""
"42","1980-01-01 00:00:00","2","de-easy","505343355","Ed6eTnraqzCuT6e","","7","7","3","4","3","8","8","9","9","9","9","2","4","9","4","8","6","8","4","","253.3","250.26","","","","","","","","","","","","","","","","","","","","","3.04",""
"44","1980-01-01 00:00:00","2","de-easy","1474122488","Sk9QaphyxbH7qfT","","4","9","5","5","4","3","9","8","8","8","7","6","8","6","7","9","3","5","4","","243.33","239.88","","","","","","","","","","","","","","","","","","","","","3.45",""
"45","1980-01-01 00:00:00","2","de-easy","1444959327","FgJcnmDFwuNbZ6V","","2","9","9","5","1","2","3","8","2","5","7","1","6","2","3","8","2","6","5","mir war die Musik viel zu laut","1557.42","1525.81","","","","","","","","","","","","","","","","","","","","","31.61",""
"47","1980-01-01 00:00:00","2","de-easy","1542558358","ZkVzSBOyDeAGHuS","","6","7","8","3","4","5","7","7","7","8","5","4","4","6","7","8","5","6","3","","770.52","764.62","","","","","","","","","","","","","","","","","","","","","5.9",""
"48","1980-01-01 00:00:00","2","en","263036490","6uK9uF09xVMAU0W","","8","7","8","7","8","4","7","9","10","10","8","2","10","5","3","10","7","10","4","","3995.31","3989.35","","","","","","","","","","","","","","","","","","","","","5.96",""
"49","1980-01-01 00:00:00","2","de-easy","1219505741","0OlhVxzh9juSyFf","","7","8","6","5","5","6","4","8","6","7","7","4","5","7","6","7","7","7","4","","446.26","442.28","","","","","","","","","","","","","","","","","","","","","3.98",""
"50","1980-01-01 00:00:00","2","de-easy","67017406","1R2VODzo3HIJaRp","","7","5","3","7","4","7","3","10","9","10","8","2","1","9","7","6","4","6","1","","1330.3","1328.19","","","","","","","","","","","","","","","","","","","","","2.11",""
"51","1980-01-01 00:00:00","2","de-easy","1242397601","CXHbUfosYxgaojd","","4","8","7","7","4","7","7","9","7","7","5","7","7","5","5","7","6","7","4","Bei vergleichen konnte man nur ein Lied hören","393.46","367.81","","","","","","","","","","","","","","","","","","","","","25.65",""
"52","1980-01-01 00:00:00","2","de-easy","1862458034","fTnlK7T6UQ1WTyE","","4","7","8","4","3","8","8","8","7","9","7","4","8","3","4","5","5","3","3","","451.34","433","","","","","","","","","","","","","","","","","","","","","18.34",""
"53","1980-01-01 00:00:00","2","de-easy","1345250610","aD3c1rzhBttRqsx","","3","10","9","3","2","5","1","7","8","5","8","3","9","6","6","9","8","7","5","","343.17","339.23","","","","","","","","","","","","","","","","","","","","","3.94",""
"54","1980-01-01 00:00:00","2","de-easy","1131443446","uOJqQ6NcoUb7XJC","","9","9","9","9","7","6","10","7","10","10","10","8","7","8","8","9","8","9","8","","410.11","401.79","","","","","","","","","","","","","","","","","","","","","8.32",""
